group,unknown_class,cifar100_test_index,row,predicted_class,score_u,threshold_tau,margin_tau_minus_u,max_softmax_prob,a_priori_semantic_neighbour,your_judgement
far,bowl,6254,1314,cat,-10.738856315612793,-5.780368304252624,4.958488011360169,0.9998699477003941,surprising,
near,pickup_truck,9880,788,truck,-10.666571617126465,-5.780368304252624,4.886203312873841,0.9999045720503834,plausible,
far,clock,4859,1198,cat,-10.62252140045166,-5.780368304252624,4.842153096199036,0.9998747740445318,surprising,
far,sunflower,5260,1225,bird,-10.563408851623535,-5.780368304252624,4.783040547370911,0.9998115042800824,surprising,
near,bus,9232,739,truck,-10.547266960144043,-5.780368304252624,4.766898655891419,0.9998035186098878,plausible,
near,tractor,8996,721,ship,-10.546733856201172,-5.780368304252624,4.766365551948548,0.9998870505319047,surprising,
near,bus,1662,129,truck,-10.522887229919434,-5.780368304252624,4.742518925666809,0.9999003151901633,plausible,
near,wolf,809,62,dog,-10.504907608032227,-5.780368304252624,4.724539303779602,0.999735922658824,plausible,
near,bus,4185,308,truck,-10.49537181854248,-5.780368304252624,4.715003514289856,0.9998781130465728,plausible,
near,pickup_truck,4316,323,truck,-10.484453201293945,-5.780368304252624,4.704084897041321,0.9998331963525241,plausible,
near,wolf,2064,155,dog,-10.470054626464844,-5.780368304252624,4.68968632221222,0.999745025061792,plausible,
near,camel,5762,468,bird,-10.466737747192383,-5.780368304252624,4.686369442939759,0.9995781798265788,surprising,
near,wolf,3817,275,dog,-10.417613983154297,-5.780368304252624,4.637245678901673,0.9998133803361298,plausible,
near,bus,5748,466,truck,-10.399893760681152,-5.780368304252624,4.619525456428528,0.9998197467498113,plausible,
near,bus,766,57,truck,-10.38365364074707,-5.780368304252624,4.603285336494446,0.9998863658413006,plausible,
near,camel,9142,733,horse,-10.346879005432129,-5.780368304252624,4.566510701179505,0.9998290341820333,plausible,
near,bus,5853,473,truck,-10.316666603088379,-5.780368304252624,4.536298298835755,0.99984284055801,plausible,
far,keyboard,3247,1066,truck,-10.305517196655273,-5.780368304252624,4.525148892402649,0.9998076333676599,surprising,
near,bus,2719,201,truck,-10.286284446716309,-5.780368304252624,4.505916142463684,0.9998733273252314,plausible,
far,keyboard,4183,1146,cat,-10.267024040222168,-5.780368304252624,4.486655735969544,0.9997275165021293,surprising,
near,bus,1271,98,truck,-10.245704650878906,-5.780368304252624,4.465336346626282,0.9998358611232251,plausible,
near,bus,5163,404,truck,-10.241050720214844,-5.780368304252624,4.46068241596222,0.9996559252718465,plausible,
far,sunflower,3386,1086,cat,-10.205162048339844,-5.780368304252624,4.42479374408722,0.9997830198184835,surprising,
near,fox,7225,571,cat,-10.201225280761719,-5.780368304252624,4.420856976509095,0.9998768461025874,plausible,
far,keyboard,3586,1099,cat,-10.199847221374512,-5.780368304252624,4.419478917121888,0.9982347017083784,surprising,
far,sunflower,9209,1549,bird,-10.197714805603027,-5.780368304252624,4.417346501350403,0.9968645150124169,surprising,
near,pickup_truck,353,29,automobile,-10.196283340454102,-5.780368304252624,4.415915036201477,0.9998027303765331,plausible,
near,tractor,4663,353,truck,-10.187077522277832,-5.780368304252624,4.406709218025208,0.9997641574065398,plausible,
near,pickup_truck,9368,752,truck,-10.186036109924316,-5.780368304252624,4.405667805671692,0.9998500820070717,plausible,
near,bus,957,74,truck,-10.184029579162598,-5.780368304252624,4.4036612749099735,0.9998364084429741,plausible,
near,pickup_truck,6574,530,automobile,-10.17364501953125,-5.780368304252624,4.393276715278626,0.9998613460279369,plausible,
near,pickup_truck,4335,325,truck,-10.156660079956055,-5.780368304252624,4.3762917757034305,0.9998640004853989,plausible,
far,bottle,7443,1417,cat,-10.15003776550293,-5.780368304252624,4.3696694612503055,0.9997308001155503,surprising,
far,keyboard,8312,1477,airplane,-10.146771430969238,-5.780368304252624,4.366403126716614,0.9993513441472446,surprising,
near,wolf,9965,797,dog,-10.139595985412598,-5.780368304252624,4.3592276811599735,0.9997305392213794,plausible,
near,bus,4173,306,truck,-10.13318920135498,-5.780368304252624,4.352820897102356,0.9998245055652331,plausible,
near,wolf,7028,552,cat,-10.117438316345215,-5.780368304252624,4.337070012092591,0.9997745448181659,plausible,
far,clock,9533,1570,bird,-10.079290390014648,-5.780368304252624,4.298922085762024,0.9997644617970851,surprising,
near,pickup_truck,9927,792,automobile,-10.079120635986328,-5.780368304252624,4.298752331733704,0.9998091104121806,plausible,
near,tractor,4731,359,truck,-10.065720558166504,-5.780368304252624,4.28535225391388,0.9997760635698429,plausible,
near,fox,9453,760,cat,-10.057181358337402,-5.780368304252624,4.276813054084778,0.9998367974530605,plausible,
near,bus,3276,238,truck,-10.054950714111328,-5.780368304252624,4.274582409858704,0.9998058803390666,plausible,
near,bus,6339,504,truck,-10.039948463439941,-5.780368304252624,4.259580159187317,0.9997907052300141,plausible,
far,bowl,1865,954,cat,-10.039819717407227,-5.780368304252624,4.259451413154602,0.998643351055902,surprising,
near,pickup_truck,4870,367,automobile,-10.033368110656738,-5.780368304252624,4.252999806404114,0.9998034163005506,plausible,
near,wolf,7980,638,dog,-10.032163619995117,-5.780368304252624,4.251795315742493,0.9996006893713463,plausible,
near,wolf,5078,391,dog,-10.031291961669922,-5.780368304252624,4.250923657417298,0.9998552663907938,plausible,
near,leopard,6395,509,frog,-10.01364803314209,-5.780368304252624,4.233279728889466,0.9998082803801385,surprising,
far,sunflower,9775,1587,bird,-9.982250213623047,-5.780368304252624,4.201881909370423,0.9996208353874503,surprising,
near,pickup_truck,9388,754,automobile,-9.974664688110352,-5.780368304252624,4.194296383857727,0.999776085591801,plausible,
near,bus,1489,115,truck,-9.920825958251953,-5.780368304252624,4.140457653999329,0.9998128222283497,plausible,
near,bus,4296,320,truck,-9.90658187866211,-5.780368304252624,4.126213574409485,0.999615712564708,plausible,
near,pickup_truck,4515,343,automobile,-9.905035972595215,-5.780368304252624,4.124667668342591,0.9997889319108373,plausible,
near,bus,4307,321,truck,-9.898898124694824,-5.780368304252624,4.1185298204422,0.9998301617382189,plausible,
near,bus,1445,111,truck,-9.894147872924805,-5.780368304252624,4.1137795686721805,0.9996992028038052,plausible,
far,wardrobe,3149,1059,truck,-9.86800765991211,-5.780368304252624,4.087639355659485,0.9993895785559974,surprising,
near,bus,193,11,truck,-9.865605354309082,-5.780368304252624,4.085237050056458,0.9998230497535074,plausible,
near,pickup_truck,6653,533,automobile,-9.84912395477295,-5.780368304252624,4.068755650520325,0.9996448508506828,plausible,
far,wardrobe,8236,1474,truck,-9.841361999511719,-5.780368304252624,4.060993695259095,0.999366057886724,surprising,
near,fox,3644,264,deer,-9.829442024230957,-5.780368304252624,4.049073719978333,0.9998016718852835,plausible,
near,pickup_truck,7900,631,automobile,-9.828471183776855,-5.780368304252624,4.048102879524231,0.9997168095062997,plausible,
near,fox,7564,603,cat,-9.814226150512695,-5.780368304252624,4.033857846260071,0.9988457951987161,plausible,
near,tractor,9704,776,truck,-9.805645942687988,-5.780368304252624,4.025277638435364,0.998456223760043,plausible,
near,bus,7812,623,truck,-9.805191040039062,-5.780368304252624,4.024822735786438,0.9994655400091123,plausible,
near,camel,9110,732,horse,-9.79627513885498,-5.780368304252624,4.015906834602356,0.9995898434750566,plausible,
far,wardrobe,2915,1037,truck,-9.783780097961426,-5.780368304252624,4.003411793708802,0.9987489806184903,surprising,
near,fox,2544,187,deer,-9.766883850097656,-5.780368304252624,3.986515545845032,0.9973790648700329,plausible,
near,bus,5634,454,truck,-9.730900764465332,-5.780368304252624,3.950532460212708,0.9996644819530018,plausible,
near,tractor,6430,517,truck,-9.730125427246094,-5.780368304252624,3.9497571229934696,0.9990471669293669,plausible,
far,clock,5690,1259,airplane,-9.711251258850098,-5.780368304252624,3.9308829545974735,0.9995943491562382,surprising,
far,wardrobe,5643,1252,truck,-9.70067310333252,-5.780368304252624,3.9203047990798954,0.9983480767511869,surprising,
near,pickup_truck,8966,719,automobile,-9.696394920349121,-5.780368304252624,3.916026616096497,0.999378334986283,plausible,
near,pickup_truck,4506,342,automobile,-9.686631202697754,-5.780368304252624,3.9062628984451297,0.999737068184001,plausible,
far,bowl,9492,1568,ship,-9.67638874053955,-5.780368304252624,3.8960204362869266,0.9991832072464738,surprising,
far,clock,4704,1180,truck,-9.669443130493164,-5.780368304252624,3.88907482624054,0.9996745276391685,surprising,
near,leopard,4238,312,dog,-9.669285774230957,-5.780368304252624,3.888917469978333,0.9991302323114802,plausible,
far,bottle,52,804,bird,-9.662290573120117,-5.780368304252624,3.881922268867493,0.9996917572812091,surprising,
near,wolf,7875,629,cat,-9.648454666137695,-5.780368304252624,3.868086361885071,0.9995617829741433,plausible,
far,sunflower,4785,1188,bird,-9.64824390411377,-5.780368304252624,3.8678755998611454,0.9965968440504954,surprising,
near,bus,8085,644,truck,-9.647294998168945,-5.780368304252624,3.866926693916321,0.9997639618226926,plausible,
near,camel,8143,651,cat,-9.64449691772461,-5.780368304252624,3.864128613471985,0.9995274999213852,surprising,
near,fox,9842,785,deer,-9.629311561584473,-5.780368304252624,3.8489432573318485,0.9996014216599919,plausible,
near,bus,7508,600,truck,-9.628496170043945,-5.780368304252624,3.848127865791321,0.9996610929023427,plausible,
far,sunflower,2831,1034,frog,-9.61599063873291,-5.780368304252624,3.835622334480286,0.9996340606055651,surprising,
near,bus,3197,232,truck,-9.612244606018066,-5.780368304252624,3.8318763017654422,0.9996299267613318,plausible,
near,wolf,6552,528,cat,-9.601469039916992,-5.780368304252624,3.821100735664368,0.9993664294922343,plausible,
far,clock,1560,928,cat,-9.598664283752441,-5.780368304252624,3.8182959794998172,0.9991390110293923,surprising,
far,bottle,340,829,ship,-9.578741073608398,-5.780368304252624,3.7983727693557743,0.9996393782630318,surprising,
near,bus,9835,784,truck,-9.574352264404297,-5.780368304252624,3.7939839601516727,0.9996580768772844,plausible,
near,bus,2591,191,truck,-9.56939697265625,-5.780368304252624,3.789028668403626,0.9988331960715283,plausible,
near,motorcycle,3558,255,automobile,-9.567949295043945,-5.780368304252624,3.787580990791321,0.9996839702501173,plausible,
far,bottle,4334,1158,cat,-9.56085205078125,-5.780368304252624,3.780483746528626,0.9969949513209299,surprising,
near,bus,3026,222,truck,-9.542255401611328,-5.780368304252624,3.761887097358704,0.9994178398046074,plausible,
near,camel,6417,515,bird,-9.539908409118652,-5.780368304252624,3.759540104866028,0.9989402213276272,surprising,
far,chair,5683,1257,airplane,-9.534862518310547,-5.780368304252624,3.7544942140579227,0.9996506524668054,surprising,
near,bus,6116,492,truck,-9.532609939575195,-5.780368304252624,3.752241635322571,0.9971405658100099,plausible,
near,pickup_truck,8082,643,automobile,-9.529829025268555,-5.780368304252624,3.7494607210159305,0.9995965703392113,plausible,
near,wolf,7135,563,dog,-9.523809432983398,-5.780368304252624,3.7434411287307743,0.9994158338147849,plausible,
far,mushroom,8707,1505,bird,-9.520137786865234,-5.780368304252624,3.73976948261261,0.9981826621655149,surprising,
far,chair,6491,1333,airplane,-9.5195894241333,-5.780368304252624,3.7392211198806766,0.9997122265902575,surprising,
near,pickup_truck,1913,145,truck,-9.469217300415039,-5.780368304252624,3.688848996162415,0.9996588777359089,plausible,
near,wolf,6010,483,deer,-9.458759307861328,-5.780368304252624,3.678391003608704,0.9994936243745778,plausible,
near,pickup_truck,7207,569,automobile,-9.4546480178833,-5.780368304252624,3.6742797136306766,0.9994913819700938,plausible,
near,pickup_truck,8953,716,automobile,-9.450806617736816,-5.780368304252624,3.6704383134841922,0.9996942378277939,plausible,
near,wolf,2340,177,dog,-9.448457717895508,-5.780368304252624,3.6680894136428837,0.9923257515498025,plausible,
near,pickup_truck,150,9,truck,-9.439314842224121,-5.780368304252624,3.658946537971497,0.9978796965197674,plausible,
near,pickup_truck,9429,758,automobile,-9.430304527282715,-5.780368304252624,3.6499362230300907,0.9992627257425745,plausible,
near,pickup_truck,5715,461,automobile,-9.42318058013916,-5.780368304252624,3.642812275886536,0.9990100852770789,plausible,
near,leopard,8774,704,cat,-9.417865753173828,-5.780368304252624,3.637497448921204,0.9986389489615058,plausible,
near,bus,2843,210,truck,-9.401366233825684,-5.780368304252624,3.6209979295730594,0.9996160234270594,plausible,
near,wolf,3877,282,cat,-9.401359558105469,-5.780368304252624,3.6209912538528446,0.9992956858067261,plausible,
near,bus,94,7,truck,-9.394035339355469,-5.780368304252624,3.6136670351028446,0.9996772632883874,plausible,
far,bowl,2656,1021,cat,-9.39372444152832,-5.780368304252624,3.613356137275696,0.9993081070738935,surprising,
far,bowl,3765,1114,ship,-9.393295288085938,-5.780368304252624,3.6129269838333133,0.9996347369082901,surprising,
near,fox,6163,497,deer,-9.39192008972168,-5.780368304252624,3.6115517854690555,0.9994441867615639,plausible,
near,wolf,2826,204,deer,-9.39097785949707,-5.780368304252624,3.610609555244446,0.9994384230677436,plausible,
near,tractor,7884,630,ship,-9.390527725219727,-5.780368304252624,3.6101594209671024,0.9987966041227826,surprising,
near,pickup_truck,156,10,truck,-9.386836051940918,-5.780368304252624,3.606467747688294,0.9982453508489973,plausible,
near,pickup_truck,4588,347,automobile,-9.36642837524414,-5.780368304252624,3.5860600709915165,0.9993294728270926,plausible,
near,pickup_truck,8455,674,automobile,-9.365921020507812,-5.780368304252624,3.5855527162551883,0.9995582528509508,plausible,
near,pickup_truck,5009,382,automobile,-9.35957145690918,-5.780368304252624,3.5792031526565555,0.9995494934178353,plausible,
far,clock,1586,930,truck,-9.355459213256836,-5.780368304252624,3.575090909004212,0.9993569009311417,surprising,
far,sunflower,714,862,bird,-9.354949951171875,-5.780368304252624,3.574581646919251,0.9991144769372837,surprising,
near,fox,4264,314,deer,-9.352310180664062,-5.780368304252624,3.5719418764114383,0.9992997809480886,plausible,
far,wardrobe,3378,1085,cat,-9.332230567932129,-5.780368304252624,3.5518622636795047,0.9989726227519258,surprising,
far,chair,4259,1153,airplane,-9.31670093536377,-5.780368304252624,3.5363326311111454,0.9994938964960868,surprising,
far,mushroom,1196,902,frog,-9.314844131469727,-5.780368304252624,3.5344758272171024,0.9989295571750645,surprising,
far,mushroom,5219,1222,cat,-9.304878234863281,-5.780368304252624,3.524509930610657,0.9960626634374481,surprising,
near,camel,1882,143,dog,-9.303814888000488,-5.780368304252624,3.523446583747864,0.9960886651706496,surprising,
near,wolf,7308,578,dog,-9.303232192993164,-5.780368304252624,3.52286388874054,0.9990975437689594,plausible,
near,bus,7816,624,truck,-9.296713829040527,-5.780368304252624,3.516345524787903,0.9991174902658081,plausible,
near,wolf,2102,161,bird,-9.292317390441895,-5.780368304252624,3.5119490861892704,0.9995261712764494,surprising,
near,fox,8715,697,cat,-9.290377616882324,-5.780368304252624,3.5100093126297,0.9945495651775097,plausible,
far,mushroom,5646,1253,bird,-9.290000915527344,-5.780368304252624,3.5096326112747196,0.999102464742712,surprising,
near,bus,5015,383,truck,-9.26668643951416,-5.780368304252624,3.486318135261536,0.9994228276639996,plausible,
near,wolf,8713,696,dog,-9.249539375305176,-5.780368304252624,3.4691710710525516,0.9992279422801279,plausible,
far,sunflower,6030,1284,bird,-9.245986938476562,-5.780368304252624,3.4656186342239383,0.9990902486819776,surprising,
far,mushroom,8701,1504,dog,-9.242815971374512,-5.780368304252624,3.4624476671218876,0.9989518872054384,surprising,
near,wolf,1519,119,dog,-9.232990264892578,-5.780368304252624,3.452621960639954,0.989723921050896,plausible,
near,bus,1985,148,automobile,-9.226384162902832,-5.780368304252624,3.446015858650208,0.9994909032580871,plausible,
far,mushroom,9193,1548,cat,-9.218610763549805,-5.780368304252624,3.4382424592971805,0.9991690066574291,surprising,
far,wardrobe,6390,1324,truck,-9.21098518371582,-5.780368304252624,3.430616879463196,0.9981221077230109,surprising,
far,chair,3186,1060,airplane,-9.202986717224121,-5.780368304252624,3.422618412971497,0.9994049564643253,surprising,
far,mushroom,3968,1129,frog,-9.201126098632812,-5.780368304252624,3.4207577943801883,0.9993767007648721,surprising,
near,tractor,2144,164,truck,-9.198989868164062,-5.780368304252624,3.4186215639114383,0.9994244903022735,plausible,
near,fox,8731,699,cat,-9.198820114135742,-5.780368304252624,3.418451809883118,0.996871715648557,plausible,
near,leopard,2647,195,frog,-9.18187427520752,-5.780368304252624,3.4015059709548954,0.9946695070817756,surprising,
near,wolf,1345,104,cat,-9.177472114562988,-5.780368304252624,3.397103810310364,0.9990377972600669,plausible,
near,leopard,1771,135,cat,-9.177306175231934,-5.780368304252624,3.3969378709793094,0.9979491961999242,plausible,
near,fox,4004,295,cat,-9.177288055419922,-5.780368304252624,3.3969197511672977,0.9981707264604605,plausible,
far,mushroom,2980,1045,bird,-9.1663236618042,-5.780368304252624,3.385955357551575,0.9993465308790872,surprising,
near,leopard,9187,735,cat,-9.144014358520508,-5.780368304252624,3.3636460542678837,0.9991708867736292,plausible,
near,leopard,9575,766,frog,-9.134110450744629,-5.780368304252624,3.3537421464920047,0.9995504805068326,surprising,
far,bowl,9561,1572,frog,-9.12824535369873,-5.780368304252624,3.3478770494461063,0.9995680331723147,surprising,
near,wolf,712,52,dog,-9.119342803955078,-5.780368304252624,3.338974499702454,0.998560854019874,plausible,
near,leopard,9406,756,cat,-9.108988761901855,-5.780368304252624,3.3286204576492313,0.9993488510270434,plausible,
far,sunflower,2811,1031,frog,-9.098272323608398,-5.780368304252624,3.3179040193557743,0.9992798751311263,surprising,
near,camel,8780,705,horse,-9.096639633178711,-5.780368304252624,3.316271328926087,0.9991723048966303,plausible,
near,camel,4435,334,dog,-9.072395324707031,-5.780368304252624,3.292027020454407,0.9982382455450565,surprising,
near,bus,4586,346,automobile,-9.063660621643066,-5.780368304252624,3.2832923173904422,0.998481187776198,plausible,
near,pickup_truck,5008,381,automobile,-9.057610511779785,-5.780368304252624,3.277242207527161,0.9991762769395666,plausible,
near,wolf,7087,555,cat,-9.050329208374023,-5.780368304252624,3.2699609041213993,0.9929529493385929,plausible,
near,wolf,720,54,dog,-9.037240982055664,-5.780368304252624,3.25687267780304,0.9973660878076186,plausible,
near,wolf,3731,269,dog,-9.033400535583496,-5.780368304252624,3.253032231330872,0.9976062914351433,plausible,
near,camel,8834,707,dog,-9.031618118286133,-5.780368304252624,3.2512498140335087,0.9978300292805186,surprising,
near,tractor,1260,96,truck,-9.023990631103516,-5.780368304252624,3.2436223268508915,0.9993256914625643,plausible,
far,chair,2684,1024,airplane,-9.004178047180176,-5.780368304252624,3.2238097429275516,0.998978792259842,surprising,
far,sunflower,3115,1056,cat,-8.995537757873535,-5.780368304252624,3.215169453620911,0.9988364391758388,surprising,
near,leopard,5399,429,cat,-8.989212989807129,-5.780368304252624,3.2088446855545047,0.9975614268844974,plausible,
near,bus,8609,686,truck,-8.983500480651855,-5.780368304252624,3.2031321763992313,0.9993597865856355,plausible,
near,wolf,4378,328,dog,-8.97929573059082,-5.780368304252624,3.198927426338196,0.9984965676462468,plausible,
near,fox,4889,370,horse,-8.956432342529297,-5.780368304252624,3.1760640382766727,0.9994023085859327,surprising,
near,camel,769,58,airplane,-8.954365730285645,-5.780368304252624,3.1739974260330204,0.9992929838601645,surprising,
far,mushroom,9847,1591,bird,-8.953935623168945,-5.780368304252624,3.173567318916321,0.998528903897735,surprising,
near,fox,7621,610,deer,-8.948545455932617,-5.780368304252624,3.168177151679993,0.9988284582895728,plausible,
near,camel,7298,577,horse,-8.948528289794922,-5.780368304252624,3.1681599855422977,0.993352946854541,plausible,
near,bus,6176,498,truck,-8.938419342041016,-5.780368304252624,3.1580510377883915,0.997579913412888,plausible,
near,bus,4104,299,airplane,-8.93174934387207,-5.780368304252624,3.151381039619446,0.9989178278741611,surprising,
far,sunflower,1781,943,airplane,-8.922405242919922,-5.780368304252624,3.1420369386672977,0.9943051976477567,surprising,
near,pickup_truck,2100,159,automobile,-8.918797492980957,-5.780368304252624,3.138429188728333,0.9995159839211389,plausible,
near,wolf,9587,767,cat,-8.91242790222168,-5.780368304252624,3.1320595979690555,0.9993375541881623,plausible,
near,wolf,3538,253,dog,-8.897146224975586,-5.780368304252624,3.116777920722962,0.9952641727844292,plausible,
near,fox,6693,534,cat,-8.885425567626953,-5.780368304252624,3.105057263374329,0.9912999522150028,plausible,
near,pickup_truck,2603,192,automobile,-8.87613296508789,-5.780368304252624,3.0957646608352665,0.9994717662225328,plausible,
far,clock,3210,1063,automobile,-8.871148109436035,-5.780368304252624,3.090779805183411,0.9963977306322281,surprising,
far,wardrobe,797,868,truck,-8.845913887023926,-5.780368304252624,3.0655455827713016,0.9989153461575674,surprising,
near,fox,1698,132,deer,-8.844001770019531,-5.780368304252624,3.063633465766907,0.9964741000981817,plausible,
far,clock,6673,1352,cat,-8.835862159729004,-5.780368304252624,3.0554938554763797,0.9987748573499168,surprising,
far,bottle,6602,1346,ship,-8.833718299865723,-5.780368304252624,3.0533499956130985,0.9992495707327805,surprising,
near,pickup_truck,9377,753,automobile,-8.832035064697266,-5.780368304252624,3.0516667604446415,0.9984340955609454,plausible,
near,bus,8958,717,automobile,-8.831504821777344,-5.780368304252624,3.0511365175247196,0.9993015225908344,plausible,
near,pickup_truck,9447,759,automobile,-8.830345153808594,-5.780368304252624,3.0499768495559696,0.9984217405885024,plausible,
near,pickup_truck,4881,369,automobile,-8.819199562072754,-5.780368304252624,3.0388312578201297,0.9982757445128418,plausible,
far,keyboard,8994,1526,airplane,-8.816792488098145,-5.780368304252624,3.0364241838455204,0.9987640786331049,surprising,
near,leopard,5142,401,cat,-8.808859825134277,-5.780368304252624,3.028491520881653,0.9988315674401912,plausible,
near,pickup_truck,2882,212,automobile,-8.807188987731934,-5.780368304252624,3.0268206834793094,0.9992618159562748,plausible,
near,wolf,8407,670,cat,-8.791790962219238,-5.780368304252624,3.011422657966614,0.9991425792301263,plausible,
near,wolf,6967,549,dog,-8.775793075561523,-5.780368304252624,2.9954247713088993,0.9966563383285999,plausible,
far,bowl,452,842,automobile,-8.773027420043945,-5.780368304252624,2.992659115791321,0.9976447727409581,surprising,
near,pickup_truck,9878,787,automobile,-8.765558242797852,-5.780368304252624,2.9851899385452274,0.9991241008873751,plausible,
near,pickup_truck,460,34,automobile,-8.762350082397461,-5.780368304252624,2.981981778144837,0.9990065876368951,plausible,
near,pickup_truck,6075,490,automobile,-8.758658409118652,-5.780368304252624,2.978290104866028,0.9990017800032309,plausible,
near,camel,2946,216,dog,-8.756523132324219,-5.780368304252624,2.9761548280715946,0.9976392989080692,surprising,
near,leopard,8324,664,cat,-8.755464553833008,-5.780368304252624,2.9750962495803837,0.9987911067353716,plausible,
near,bus,1034,81,truck,-8.749725341796875,-5.780368304252624,2.969357037544251,0.9989863694857465,plausible,
far,mushroom,2937,1040,bird,-8.744729995727539,-5.780368304252624,2.964361691474915,0.9935166313912042,surprising,
far,bowl,6033,1285,automobile,-8.739117622375488,-5.780368304252624,2.958749318122864,0.9992754087382515,surprising,
near,tractor,5495,445,truck,-8.7287015914917,-5.780368304252624,2.948333287239075,0.9986980760642505,plausible,
near,bus,4434,333,truck,-8.712071418762207,-5.780368304252624,2.931703114509583,0.998395555820668,plausible,
near,bus,5654,456,automobile,-8.706334114074707,-5.780368304252624,2.925965809822083,0.9992237377662179,plausible,
near,pickup_truck,4821,366,automobile,-8.704916000366211,-5.780368304252624,2.924547696113587,0.999120967223663,plausible,
near,pickup_truck,4463,337,automobile,-8.699736595153809,-5.780368304252624,2.9193682909011844,0.9990318212598926,plausible,
near,bus,2203,168,automobile,-8.697868347167969,-5.780368304252624,2.9175000429153446,0.9989839209967456,plausible,
far,clock,6269,1316,cat,-8.697050094604492,-5.780368304252624,2.916681790351868,0.9987434600518185,surprising,
near,fox,4754,362,deer,-8.695171356201172,-5.780368304252624,2.9148030519485477,0.9987563425031978,plausible,
far,mushroom,8505,1489,bird,-8.692834854125977,-5.780368304252624,2.9124665498733524,0.9987921452529637,surprising,
near,leopard,1994,149,frog,-8.686600685119629,-5.780368304252624,2.9062323808670047,0.9975473221436301,surprising,
near,bus,9572,765,truck,-8.67821979522705,-5.780368304252624,2.8978514909744266,0.9975769389774065,plausible,
far,bowl,7345,1408,airplane,-8.669658660888672,-5.780368304252624,2.8892903566360477,0.9697014122986547,surprising,
far,chair,8498,1488,bird,-8.66746711730957,-5.780368304252624,2.887098813056946,0.9965153410348536,surprising,
near,wolf,9790,780,cat,-8.663018226623535,-5.780368304252624,2.882649922370911,0.9969796646628358,plausible,
far,chair,8666,1502,bird,-8.650139808654785,-5.780368304252624,2.869771504402161,0.9991325861878674,surprising,
near,bus,2484,184,truck,-8.649890899658203,-5.780368304252624,2.869522595405579,0.9976604745712995,plausible,
near,wolf,9346,750,dog,-8.648381233215332,-5.780368304252624,2.868012928962708,0.9985398194947952,plausible,
near,pickup_truck,9662,772,automobile,-8.647062301635742,-5.780368304252624,2.866693997383118,0.9982965153018863,plausible,
far,sunflower,976,885,truck,-8.646924018859863,-5.780368304252624,2.866555714607239,0.9992883721201061,surprising,
far,bottle,4956,1204,cat,-8.639334678649902,-5.780368304252624,2.858966374397278,0.998277076215063,surprising,
far,clock,6508,1336,bird,-8.637893676757812,-5.780368304252624,2.8575253725051883,0.9979428324635237,surprising,
near,tractor,9039,728,truck,-8.636442184448242,-5.780368304252624,2.856073880195618,0.9959738192424546,plausible,
near,bus,1478,114,truck,-8.636350631713867,-5.780368304252624,2.855982327461243,0.9983206233641402,plausible,
near,bus,6712,535,truck,-8.635416984558105,-5.780368304252624,2.8550486803054813,0.9982724952220873,plausible,
near,pickup_truck,8503,678,automobile,-8.628546714782715,-5.780368304252624,2.8481784105300907,0.9984844366272821,plausible,
far,wardrobe,6046,1287,cat,-8.627568244934082,-5.780368304252624,2.847199940681458,0.9962710136813501,surprising,
far,wardrobe,5428,1237,truck,-8.623425483703613,-5.780368304252624,2.843057179450989,0.9969934917620887,surprising,
